Year,State,District,Post_Monsoon,Pre_Monsoon
2019-20,Andaman and Nicobar Islands,Havelock Island,0 to 2,0 to 2
2019-20,Andaman and Nicobar Islands,Long Island,0 to 2,2 to 5
2019-20,Andaman and Nicobar Islands,Middle Andaman,0 to 2,0 to 2
2019-20,Andaman and Nicobar Islands,Neil Island,2 to 5,2 to 5
2019-20,Andaman and Nicobar Islands,North Andaman,0 to 2,0 to 2
2019-20,Andaman and Nicobar Islands,Ross Island,0 to 2,0 to 2
2019-20,Andaman and Nicobar Islands,South Andaman,0 to 2,0 to 2
2019-20,Andhra Pradesh,Anantapur,2 to 5,10 to 20
2019-20,Andhra Pradesh,Chittoor,5 to 10,10 to 20
2019-20,Andhra Pradesh,East Godavari,0 to 2,2 to 5
2019-20,Andhra Pradesh,Guntur,0 to 2,2 to 5
2019-20,Andhra Pradesh,Krishna,0 to 2,2 to 5
2019-20,Andhra Pradesh,Kurnool,2 to 5,5 to 10
2019-20,Andhra Pradesh,Nellore,2 to 5,5 to 10
2019-20,Andhra Pradesh,Prakasam,5 to 10,5 to 10
2019-20,Andhra Pradesh,Srikakulam,0 to 2,2 to 5
2019-20,Andhra Pradesh,Visakhapatnam,0 to 2,5 to 10
2019-20,Andhra Pradesh,Vizianagaram,0 to 2,5 to 10
2019-20,Andhra Pradesh,West Godavari,0 to 2,2 to 5
2019-20,Andhra Pradesh,Y.S.R. (Kadapa),10 to 20,5 to 10
2019-20,Arunachal Pradesh,Anjaw,2 to 5,2 to 5
2019-20,Arunachal Pradesh,Changlang,2 to 5,2 to 5
2019-20,Arunachal Pradesh,Dibang Valley,2 to 5,2 to 5
2019-20,Arunachal Pradesh,East Kameng,0 to 2,0 to 2
2019-20,Arunachal Pradesh,East Siang,5 to 10,10 to 20
2019-20,Arunachal Pradesh,Kamle,2 to 5,5 to 10
2019-20,Arunachal Pradesh,Kra Daadi,0 to 2,5 to 10
2019-20,Arunachal Pradesh,Kurung Kumey,0 to 2,5 to 10
2019-20,Arunachal Pradesh,Lepa Rada,5 to 10,10 to 20
2019-20,Arunachal Pradesh,Lohit,2 to 5,2 to 5
2019-20,Arunachal Pradesh,Longding,5 to 10,5 to 10
2019-20,Arunachal Pradesh,Lower Dibang Valley,2 to 5,2 to 5
2019-20,Arunachal Pradesh,Lower Siang,5 to 10,10 to 20
2019-20,Arunachal Pradesh,Lower Subansiri,2 to 5,5 to 10
2019-20,Arunachal Pradesh,Namasai,2 to 5,2 to 5
2019-20,Arunachal Pradesh,Pakke Kessang,0 to 2,0 to 2
2019-20,Arunachal Pradesh,Papum Pare,0 to 2,0 to 2
2019-20,Arunachal Pradesh,Shi Yomi,5 to 10,10 to 20
2019-20,Arunachal Pradesh,Siang,5 to 10,2 to 5
2019-20,Arunachal Pradesh,Tawang,0 to 2,0 to 2
2019-20,Arunachal Pradesh,Tirap,5 to 10,2 to 5
2019-20,Arunachal Pradesh,Upper Siang,5 to 10,10 to 20
2019-20,Arunachal Pradesh,Upper Subansiri,0 to 2,5 to 10
2019-20,Arunachal Pradesh,West Kameng,0 to 2,0 to 2
2019-20,Arunachal Pradesh,West Siang,5 to 10,10 to 20
2019-20,Assam,Baksa,2 to 5,2 to 5
2019-20,Assam,Barpeta,2 to 5,2 to 5
2019-20,Assam,Biswanath,0 to 2,5 to 10
2019-20,Assam,Bongaigaon,2 to 5,2 to 5
2019-20,Assam,Cachar,0 to 2,0 to 2
2019-20,Assam,Charaideo,0 to 2,2 to 5
2019-20,Assam,Chirang,2 to 5,2 to 5
2019-20,Assam,Darrang,2 to 5,2 to 5
2019-20,Assam,Dhemaji,0 to 2,2 to 5
2019-20,Assam,Dhubri,2 to 5,2 to 5
2019-20,Assam,Dibrugarh,2 to 5,2 to 5
2019-20,Assam,Dima Hasao,0 to 2,0 to 2
2019-20,Assam,Goalpara,2 to 5,2 to 5
2019-20,Assam,Golaghat,2 to 5,2 to 5
2019-20,Assam,Hailakandi,0 to 2,0 to 2
2019-20,Assam,Hojai,2 to 5,2 to 5
2019-20,Assam,Jorhat,2 to 5,0 to 2
2019-20,Assam,Kamrup,2 to 5,2 to 5
2019-20,Assam,Kamrup (Metro),0 to 2,2 to 5
2019-20,Assam,Karbi Anglong,2 to 5,2 to 5
2019-20,Assam,Karimganj,0 to 2,0 to 2
2019-20,Assam,Kokrajhar,2 to 5,2 to 5
2019-20,Assam,Lakhimpur,0 to 2,2 to 5
2019-20,Assam,Majuli,0 to 2,2 to 5
2019-20,Assam,Morigaon,2 to 5,2 to 5
2019-20,Assam,Nagaon,2 to 5,2 to 5
2019-20,Assam,Nalbari,2 to 5,5 to 10
2019-20,Assam,Sivasagar,2 to 5,2 to 5
2019-20,Assam,Sonitpur,2 to 5,2 to 5
2019-20,Assam,South Salmara Mankachar,0 to 2,2 to 5
2019-20,Assam,Tinsukia,2 to 5,2 to 5
2019-20,Assam,Udalguri,2 to 5,2 to 5
2019-20,Assam,West Karbi Anglong,2 to 5,2 to 5
2019-20,Bihar,Araria,2 to 5,2 to 5
2019-20,Bihar,Arwal,2 to 5,5 to 10
2019-20,Bihar,Aurangabad,2 to 5,5 to 10
2019-20,Bihar,Banka,0 to 2,5 to 10
2019-20,Bihar,Begusarai,2 to 5,5 to 10
2019-20,Bihar,Bhagalpur,2 to 5,5 to 10
2019-20,Bihar,Bhojpur,2 to 5,5 to 10
2019-20,Bihar,Buxar,5 to 10,5 to 10
2019-20,Bihar,Darbhanga,2 to 5,2 to 5
2019-20,Bihar,East Champaran,2 to 5,2 to 5
2019-20,Bihar,Gaya,2 to 5,5 to 10
2019-20,Bihar,Gopalganj,2 to 5,2 to 5
2019-20,Bihar,Jamui,2 to 5,5 to 10
2019-20,Bihar,Jehanabad,2 to 5,5 to 10
2019-20,Bihar,Kaimur,5 to 10,5 to 10
2019-20,Bihar,Katihar,2 to 5,5 to 10
2019-20,Bihar,Khagaria,2 to 5,5 to 10
2019-20,Bihar,Kishanganj,2 to 5,2 to 5
2019-20,Bihar,Lakhisarai,5 to 10,5 to 10
2019-20,Bihar,Madhepura,2 to 5,2 to 5
2019-20,Bihar,Madhubani,0 to 2,2 to 5
2019-20,Bihar,Munger,2 to 5,5 to 10
2019-20,Bihar,Muzaffarpur,2 to 5,5 to 10
2019-20,Bihar,Nalanda,2 to 5,5 to 10
2019-20,Bihar,Nawada,2 to 5,5 to 10
2019-20,Bihar,Patna,2 to 5,2 to 5
2019-20,Bihar,Purnia,2 to 5,2 to 5
